Source: https://knoema.com/atlas/Nepal/topics/Economy/Financial-Sector-Interest-rates/Risk-premium-on-lending,,
Year,Risk Premium on Lending,
1981,9,
1982,10.5,{763C70B0-83A0-4CF9-8C4F-4EEB3A687CC9}
1983,12,
1984,12,
1985,12,
1986,10.67,
1987,10,
1988,10,
1989,9.71,
1990,7.68,
1991,5.52,
1995,3.41,
1996,0.78,
1997,7.75,
1998,11.2,
1999,8.39,
2000,4.17,
2001,2.96,
2002,2.43,
2003,3.87,
2004,6.55,
2005,5.16,
2006,5.27,
2007,5.32,
2008,2.97,
2009,2.9,
2010,1.09,
2011,2.26,
