Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History
SCNPLM,"Nepal Capitalization, Volume","Stocks - Capitalization, Volume",Nepal Rupee,Nepal,,,,,,,National Currency,Millions,Stock,none,Annual From Jul 1994 To Jul 1998<BR>Monthly From Aug 1998 To Oct 2010<BR>Quarterly From Jan 2011 To Jul 2019<BR>,Source: Nepal Rastra Bank,
Date,Ticker,Close
07/31/1994,SCNPLM,13872
07/31/1995,SCNPLM,12963
07/31/1996,SCNPLM,12295
07/31/1997,SCNPLM,12698
07/31/1998,SCNPLM,14289
08/31/1998,SCNPLM,15196
09/30/1998,SCNPLM,15392
10/30/1998,SCNPLM,15437
11/30/1998,SCNPLM,17666.3008
12/31/1998,SCNPLM,19299
01/29/1999,SCNPLM,18766.3008
02/26/1999,SCNPLM,18438
03/31/1999,SCNPLM,18612
04/30/1999,SCNPLM,19460
05/31/1999,SCNPLM,20294
06/30/1999,SCNPLM,21889
07/30/1999,SCNPLM,23508
08/31/1999,SCNPLM,24685
09/30/1999,SCNPLM,26055
10/29/1999,SCNPLM,26739
11/30/1999,SCNPLM,27738
12/31/1999,SCNPLM,27880
01/31/2000,SCNPLM,29589.0996
02/29/2000,SCNPLM,32075.5996
03/31/2000,SCNPLM,37211.6016
04/28/2000,SCNPLM,37501
05/31/2000,SCNPLM,39470
06/30/2000,SCNPLM,38344.6992
07/31/2000,SCNPLM,43123.3008
08/31/2000,SCNPLM,43546.8008
09/29/2000,SCNPLM,50353.8008
10/31/2000,SCNPLM,53087.3008
11/30/2000,SCNPLM,63536.6016
12/29/2000,SCNPLM,59464.6992
01/31/2001,SCNPLM,56860.6016
02/28/2001,SCNPLM,55924
03/30/2001,SCNPLM,50229.6992
04/30/2001,SCNPLM,48440.3984
05/31/2001,SCNPLM,46674.6992
06/29/2001,SCNPLM,43810.3008
07/31/2001,SCNPLM,46349.3984
08/31/2001,SCNPLM,43956.5
09/28/2001,SCNPLM,37053.8984
10/31/2001,SCNPLM,39288.3008
11/30/2001,SCNPLM,42628.6992
12/31/2001,SCNPLM,40640.1016
01/31/2002,SCNPLM,38536.8008
02/28/2002,SCNPLM,35304
03/29/2002,SCNPLM,28994.5996
04/30/2002,SCNPLM,32862
05/31/2002,SCNPLM,36326
06/28/2002,SCNPLM,34343.3984
07/31/2002,SCNPLM,34704
08/30/2002,SCNPLM,34558
09/30/2002,SCNPLM,34133
10/31/2002,SCNPLM,33564
11/29/2002,SCNPLM,33788
12/31/2002,SCNPLM,33764
01/31/2003,SCNPLM,32120
02/28/2003,SCNPLM,34950
03/31/2003,SCNPLM,34503
04/30/2003,SCNPLM,35258
05/30/2003,SCNPLM,34509
06/30/2003,SCNPLM,35152
07/31/2003,SCNPLM,35240
08/29/2003,SCNPLM,36937
09/30/2003,SCNPLM,37057
10/31/2003,SCNPLM,36893
11/28/2003,SCNPLM,36732
12/31/2003,SCNPLM,36346
01/30/2004,SCNPLM,36347
02/27/2004,SCNPLM,39106
03/31/2004,SCNPLM,38456
04/30/2004,SCNPLM,38456
05/31/2004,SCNPLM,37858
06/30/2004,SCNPLM,39585
07/30/2004,SCNPLM,41425
08/31/2004,SCNPLM,46267.1992
09/30/2004,SCNPLM,44939.6016
10/29/2004,SCNPLM,44470.6016
11/30/2004,SCNPLM,45195.5
12/31/2004,SCNPLM,46462.8984
01/31/2005,SCNPLM,47097.6992
02/28/2005,SCNPLM,53180.3984
