Company,Type,Amount,Permission AD Date,Permission BS Date,
Nepal Med Ltd.,Ordinary Share,2.7,28/07/1993,,
NIDC Capital Markets Ltd.,Mutual Fund,100,28/07/1993,,
Nepal Share Markets Co. Ltd.,Ordinary Share,4,21/09/1993,,
Himalayan General Insurance Co. Ltd.,Ordinary Share,12,28/09/1993,,
Harisiddhi Brick & Tiles Factory Ltd.,Ordinary Share,53.2,1993/12/12,,
Nimrod Pharmaceuticals Ltd.,Ordinary Share,18,16/12/1993,,
Nepal Lever Ltd.,Ordinary Share,13.8,30/12/1993,,
Necon Air Ltd.,Ordinary Share,16.5,1994/10/01,,
Necon Air Ltd.,Preference Share,14,1994/10/01,,
United Insurance Co. (Nepal) Ltd.,Ordinary Share,24,30/01/1994,,
Nepal SBI Bank Ltd.,Ordinary Share,36,22/02/1994,,
Peoples Finance Ltd.,Ordinary Share,9.8,1994/08/05,,
Annapurna Finance Ltd.,Ordinary Share,9.8,1994/10/05,,
Nepal Film Development Co. Ltd.,Ordinary Share,21.9,1994/05/06,,
Agro Nepal Ltd.,Ordinary Share,9,1994/12/06,,
Birat Shoe Ltd.,Ordinary Share,5,21/06/1994,,
Birat Shoe Ltd.,Preference Share,2.5,21/06/1994,,
Premier Insurance Co. Ltd.,Ordinary Share,12,18/08/1994,,
Ace Laboratries (Nepal) Ltd.,Ordinary Share,12.26,1994/04/09,,
Nepal Bangaladesh Bank Ltd.,Ordinary Share,36,29/09/1994,,
Everest Insurance Co. Ltd.,Ordinary Share,12,1994/03/10,,
Himgiri Textile Industries Ltd.,Ordinary Share,19.2,1994/08/11,,
Balaju Textile Industries Ltd.,Ordinary Share,7.5,24/11/1994,,
Kathmandu Finance Co. Ltd.,Ordinary Share,8,29/01/1995,,
Leatherage Bansbari Tannery & Shoe Factory Ltd.,Ordinary Share,15,14/03/1995,,
Citizen Investment Trust,Ordinary Share,16,1995/10/04,,
Everest Bank Ltd.,Ordinary Share,36,26/04/1995,,
Kosh Byabasthapan Co. Ltd.,Ordinary Share,30.25,14/06/1995,,
Citizen Investment Trust,Unit Scheme,50,29/06/1995,,
Nepal Abbas Bikash Bitta Co. Ltd.,Ordinary Share,20,1995/01/08,,
Narayani Finance Co. Ltd.,Ordinary Share,4,1995/11/09,,
Nepal Finance & Saving Co. Ltd.,Rights Share,2,22/10/1995,,
Shree Brikuti Pulp & Paper Nepal Ltd.,Ordinary Share,105,1995/05/12,,
Yeti Finance Co. Ltd.,Ordinary Share,8,1996/05/02,,
Color Scan Nepal Ltd.,Ordinary Share,14.34,25/03/1996,,
HISEF Finance Ltd.,Ordinary Share,24,25/03/1996,,
Universal Finance and Capital Markets Ltd.,Ordinary Share,15,1996/04/04,,
Fleur Himalayan Co. Ltd.,Ordinary Share,12.28,1996/07/04,,
Ace Finance Co. Ltd.,Ordinary Share,12,14/04/1996,,
Samjhana Finance Ltd.,Ordinary Share,10.12,1996/06/06,,
Seti Cigarette Factory Ltd.,Rights Share,67,1996/02/07,,
Nepal Housing & Merchant Finance Ltd.,Ordinary Share,12,26/07/1996,,
Bank of Kathmandu Ltd.,Ordinary Share,45,1996/03/10,,
Himalyan General Insurance Co. Ltd.,Rights Share,30,1997/03/04,,
Bottlers Nepal Ltd.,Rights Share,225.2,1997/03/04,,
Nepal Share Markets Co. Ltd.,Rights Share,20,13/05/1997,,
General Finance Co. Ltd.,Ordinary Share,8,17/08/1997,,
Nepal Bitumin & Barrel Udyog Ltd.,Ordinary Share,7.4,17/08/1997,,
Shreeram Sugar Mills Ltd.,Ordinary Share,46.5,23/10/1997,,
Shreeram Sugar Mills Ltd.,Debenture,93,23/10/1997,,
Neco Insurance Ltd.,Ordinary Share,20,26/10/1997,,
Nepal United Co. Ltd.,Rights Share,3.01,16/11/1997,,
Nepal Bank Ltd.,Rights Share,241.95,27/11/1997,,
Mahalaxmi Finance Co. Ltd.,Ordinary Share,10,15/12/1997,,
Paschimanchal Finance Co. Ltd.,Ordinary Share,8,1998/05/01,,
Annapurna Finance Co. Ltd.,Rights Share,5,25/01/1998,,
Lalitpur Finance Co. Ltd.,Ordinary Share,9.5,1998/02/04,,
Goodwill Finance & Investment Co. (Nepal) Ltd.,Ordinary Share,10,27/05/1998,,
Alliance Insurance Co. Ltd.,Ordinary Share,20,1998/12/08,,
Taragaon Regency Hotels Ltd.,Ordinary Share,120,16/12/1998,,
Taragaon Regency Hotels Ltd.,Preference Share,80,16/12/1998,,
Pokhara Finance Co. Ltd.,Ordinary Share,8,22/03/1999,,
Nepal Share Markets Co. Ltd.,Rights Share,30,25/05/1999,,
Universal Finance & Capital Market Ltd.,Ordinary Share,3.26,13/09/1999,,
Nepal Industrial & Commercial Bank Ltd.,Ordinary Share,175,15/11/1999,,
Nepal Merchant Banking & Finance Ltd.,Ordinary Share (not issued),50,30/12/1999,,
Necon Air Ltd.,Rights Share,89.6,21/01/2000,,
Lumbini Finance & Leasing Co. Ltd.,Ordinary Share,24,2000/01/02,,
Paschimanchal Finance Co. Ltd.,Rights Share,20,14/02/2000,,
Ace Finance Co. Ltd.,Rights Share,15,29/03/2000,,
Sagarmatha Insurance Co. Ltd.,Ordinary Share,10.2,14/06/2000,,
Oriental Hotels Ltd.,Ordinary Share,150,27/06/2000,,
Siddartha Finance Ltd.,Ordinary Share,8,2000/07/11,,
Nepal Merchant Banking & Finance Ltd.,Ordinary Share,50,30/11/2000,,
Alpic Everest Finance Ltd.,Ordinary Share,5,2000/12/12,,
Nepal Bangladesh Finance & Leasing Co. Ltd.,Ordinary Share,7.5,19/01/2001,,
