Macrotrends Data Download

Nepal GDP Per Capita 1960-2019


DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, GDP Per Capita (US $), Annual Growth Rate (%) 
1960-12-31,50.305,0
1961-12-31,51.8112,2.99
1962-12-31,55.0257,6.2
1963-12-31,46.8614,-14.84
1964-12-31,46.0034,-1.83
1965-12-31,67.0075,45.66
1966-12-31,81.1644,21.13
1967-12-31,73.9679,-8.87
1968-12-31,66.5489,-10.03
1969-12-31,66.6384,0.13
1970-12-31,71.7186,7.62
1971-12-31,71.6299,-0.12
1972-12-31,81.3866,13.62
1973-12-31,75.637,-7.06
1974-12-31,92.7522,22.63
1975-12-31,117.4177,26.59
1976-12-31,105.8928,-9.82
1977-12-31,98.542,-6.94
1978-12-31,111.8067,13.46
1979-12-31,126.1333,12.81
1980-12-31,129.5861,2.74
1981-12-31,148.0803,14.27
1982-12-31,152.2897,2.84
1983-12-31,151.9926,-0.2
1984-12-31,156.6507,3.06
1985-12-31,155.4079,-0.79
1986-12-31,165.3619,6.41
1987-12-31,167.8,1.47
1988-12-31,193.4997,15.32
1989-12-31,191.1208,-1.23
1990-12-31,191.8789,0.4
1991-12-31,202.0806,5.32
1992-12-31,170.5867,-15.58
1993-12-31,178.626,4.71
1994-12-31,193.2795,8.2
1995-12-31,203.9808,5.54
1996-12-31,204.6858,0.35
1997-12-31,217.788,6.4
1998-12-31,210.6115,-3.3
1999-12-31,214.1068,1.66
2000-12-31,229.4903,7.18
2001-12-31,246.7256,7.51
2002-12-31,244.7208,-0.81
2003-12-31,252.4024,3.14
2004-12-31,286.1576,13.37
2005-12-31,315.8056,10.36
2006-12-31,346.9453,9.86
2007-12-31,391.3801,12.81
2008-12-31,470.4555,20.2
2009-12-31,478.1732,1.64
2010-12-31,592.4011,23.89
2011-12-31,699.4293,18.07
2012-12-31,698.4665,-0.14
2013-12-31,715.9237,2.5
2014-12-31,743.4134,3.84
2015-12-31,792.5529,6.61
2016-12-31,777.1476,-1.94
2017-12-31,900.5739,15.88
2018-12-31,1025.7984,13.9
