Macrotrends Data Download

Nepal Inflation Rate 1965-2019


DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


, , , 
date, Inflation Rate (%), Annual Change, 
1965-12-31,8.4719
1966-12-31,14.389,5.92
1967-12-31,-2.8083,-17.2
1968-12-31,1.1799,3.99
1969-12-31,4.0576,2.88
1970-12-31,15.2373,11.18
1971-12-31,-1.9995,-17.24
1972-12-31,8.389,10.39
1973-12-31,11.4298,3.04
1974-12-31,19.8063,8.38
1975-12-31,7.586,-12.22
1976-12-31,-3.1132,-10.7
1977-12-31,9.8989,13.01
1978-12-31,7.3461,-2.55
1979-12-31,3.5655,-3.78
1980-12-31,14.6845,11.12
1981-12-31,11.1449,-3.54
1982-12-31,11.6985,0.55
1983-12-31,12.3772,0.68
1984-12-31,2.8458,-9.53
1985-12-31,8.0526,5.21
1986-12-31,18.9989,10.95
1987-12-31,10.7503,-8.25
1988-12-31,8.983,-1.77
1989-12-31,8.8469,-0.14
1990-12-31,8.2397,-0.61
1991-12-31,15.5575,7.32
1992-12-31,17.1495,1.59
1993-12-31,7.5054,-9.64
1994-12-31,8.3493,0.84
1995-12-31,7.623,-0.73
1996-12-31,9.2205,1.6
1997-12-31,4.01,-5.21
1998-12-31,11.2445,7.23
1999-12-31,7.4511,-3.79
2000-12-31,2.4788,-4.97
2001-12-31,2.6883,0.21
2002-12-31,3.0294,0.34
2003-12-31,5.707,2.68
2004-12-31,2.8418,-2.87
2005-12-31,6.8363,3.99
2006-12-31,6.9203,0.08
2007-12-31,2.2692,-4.65
2008-12-31,9.9078,7.64
2009-12-31,11.0948,1.19
2010-12-31,9.3265,-1.77
2011-12-31,9.2271,-0.1
2012-12-31,9.4598,0.23
2013-12-31,9.0402,-0.42
2014-12-31,8.3642,-0.68
2015-12-31,7.8689,-0.5
2016-12-31,8.7903,0.92
2017-12-31,3.6271,-5.16
