S.N,Date,Open,High,Low,Close,Absolute,Percentage,Volume,Trunover
1,2019-12-08,1131.92,1135.37,1125.81,1135.37,3.45,0.31  %,987739,287527825
2,2019-12-05,1124.47,1134.93,1124.44,1131.92,7.45,0.66  %,1095188,358839860
3,2019-12-04,1116.12,1128.00,1116.12,1124.47,8.73,0.78  %,990274,308214465
4,2019-12-03,1112.06,1117.82,1111.19,1115.74,3.75,0.34  %,1010991,266801558
5,2019-12-02,1112.87,1113.73,1110.98,1111.99,0.86,-0.08%,826368,232259331
6,2019-12-01,1112.79,1114.31,1109.97,1112.85,0.069,0.0062%,675038,206314318
7,2019-11-28,1117.64,1119.63,1112.79,1112.79,4.67,-0.42%,1271006,243391320
8,2019-11-27,1109.09,1117.46,1108.02,1117.46,8.3,0.75  %,738446,212363736
9,2019-11-26,1110.11,1112.15,1102.46,1110.08,0.91,-0.08%,1134015,295869180
10,2019-11-25,1110.08,1110.08,1110.08,1110.08,-0.001,-0.0001%,1078016,288858482
11,2019-11-24,1120.62,1121.94,1108.76,1110.08,10.54,-0.94%,929744,280534415
12,2019-11-21,1128.34,1128.69,1118.10,1120.60,7.74,-0.69%,1050412,297797071
13,2019-11-20,1130.01,1139.74,1127.63,1128.34,1.65,-0.15%,1097920,303724204
14,2019-11-19,1131.13,1132.40,1127.91,1129.99,1.14,-0.1%,1016040,259330595
15,2019-11-18,1131.40,1133.43,1128.00,1131.12,0.24,-0.02%,1188845,356861857
16,2019-11-17,1135.73,1137.25,1129.15,1131.36,4.59,-0.4%,1167605,355159768
17,2019-11-14,1135.15,1139.41,1133.67,1135.95,0.79,0.07  %,833881,228357493
18,2019-11-13,1140.65,1140.65,1133.49,1135.16,4.8,-0.42%,908363,275427886
19,2019-11-12,1146.14,1147.06,1138.57,1139.96,5.61,-0.49%,1082815,379849435
20,2019-11-11,1132.70,1147.74,1132.70,1145.57,13.77,1.22  %,1995048,549998241
21,2019-11-10,1132.47,1135.90,1129.89,1131.80,0.18,-0.02%,1008809,293149044
22,2019-11-07,1138.27,1139.36,1131.33,1131.97,6.05,-0.53%,1296877,374150571
23,2019-11-06,1139.49,1141.08,1136.74,1138.02,6.05,-0.53%,750033,206253845
24,2019-11-05,1140.21,1141.86,1138.66,1139.45,0.81,-0.07%,1058896,284472501
25,2019-11-04,1139.57,1141.13,1135.96,1140.26,0.97,0.09  %,759712,191854333
26,2019-11-03,1145.83,1146.88,1136.39,1139.29,6.88,-0.6%,784740,175544472
27,2019-10-31,1149.74,1151.48,1143.07,1146.17,3.17,-0.28%,1060196,254312462
28,2019-10-24,1142.41,1150.47,1141.39,1149.34,6.73,0.59  %,1204015,327632258
29,2019-10-23,1135.40,1142.82,1135.40,1142.60,7.79,0.69  %,604728,163757847
30,2019-10-22,1132.45,1134.81,1130.21,1134.79,2.4,0.21  %,645453,165296005
31,2019-10-21,1133.73,1135.84,1130.14,1132.40,1.33,-0.12%,608601,164349536
32,2019-10-20,1137.69,1138.99,1132.58,1133.71,4.03,-0.35%,421474,113359956
33,2019-10-17,1137.03,1140.38,1135.87,1137.75,0.71,0.06  %,998000,182994905
34,2019-10-16,1142.39,1142.71,1136.00,1137.03,-5.01,-0.44  %,395947,110429530
35,2019-10-15,1138.38,1142.04,1135.86,1142.04,5.01,-0.44%,765897,222452077
36,2019-10-14,1149.01,1151.52,1135.04,1136.96,12.05,-1.05%,833753,218635691
37,2019-10-10,1149.03,1151.81,1148.13,1149.01,0.39,-0.03%,232619,63845411
38,2019-10-03,1142.44,1149.40,1138.58,1149.40,8.69,0.76  %,647562,176633514
39,2019-10-02,1145.69,1149.70,1140.07,1140.71,4.98,-0.44%,785740,203287237
40,2019-10-01,1135.05,1146.11,1134.82,1145.69,10.13,0.89  %,1386028,311488652
41,2019-09-30,1125.49,1135.56,1121.09,1135.56,10.42,0.93  %,633951,168828923
42,2019-09-29,1129.81,1131.87,1123.66,1125.14,4.66,-0.41%,924190,241498554
43,2019-09-26,1131.52,1133.80,1128.61,1129.80,1.73,-0.15%,799128,212541352
44,2019-09-25,1134.56,1135.26,1130.88,1131.53,3.03,-0.27%,777735,166921799
45,2019-09-24,1140.99,1141.62,1132.72,1134.56,-6.422,-0.5629%,873079,218278449
46,2019-09-23,1139.92,1147.85,1137.87,1140.98,1.73,0.15  %,743315,177279039
47,2019-09-22,1155.30,1157.79,1135.18,1139.25,16.05,-1.39%,848662,226950238
48,2019-09-19,1173.44,1178.28,1155.30,1155.30,18.12,-1.54%,1224572,399930871
49,2019-09-18,1150.65,1173.14,1150.65,1172.15,22.68,1.97  %,1645877,476833847
50,2019-09-17,1127.26,1152.51,1127.26,1150.74,26.91,2.39  %,1377946,383957426
51,2019-09-16,1140.49,1140.55,1122.02,1123.83,16.18,-1.42%,1248409,343918221
52,2019-09-15,1157.68,1160.55,1140.01,1140.01,17.87,-1.54%,1090218,288099912
53,2019-09-12,1163.71,1164.09,1156.37,1157.88,5.33,-0.46%,1556790,376184491
54,2019-09-11,1166.68,1168.06,1161.95,1163.21,3.46,-0.3%,1503928,341745136
55,2019-09-10,1168.91,1172.82,1161.20,1166.67,-2.242,-0.1918%,1503928,341745136
56,2019-09-09,1178.47,1180.28,1166.09,1168.91,9.54,-0.81%,1428838,299200764
57,2019-09-08,1192.07,1192.33,1176.41,1178.46,12.61,-1.06%,1173488,305310719
58,2019-09-05,1195.89,1196.92,1189.05,1191.07,3.7,-0.31%,957881,290177357
59,2019-09-04,1192.21,1198.48,1183.40,1194.77,3.87,0.32  %,1422112,436444688
60,2019-09-03,1170.87,1190.90,1156.72,1190.90,20.57,1.76  %,2184271,510552041
61,2019-09-02,1184.93,1190.88,1167.81,1170.34,14.45,-1.22%,1380660,407569712
62,2019-09-01,1196.60,1198.51,1184.06,1184.78,11.63,-0.97%,1104395,297398003
63,2019-08-29,1198.49,1201.23,1194.09,1196.41,1.33,-0.11%,975834,277359659
64,2019-08-28,1209.70,1213.46,1197.32,1197.75,10.26,-0.85%,1319806,371944429
65,2019-08-27,1203.42,1212.30,1203.40,1208.00,4.87,0.41  %,850386,244668209
66,2019-08-26,1209.70,1210.24,1199.31,1203.13,6.49,-0.54%,1603326,380596571
67,2019-08-25,1212.76,1213.23,1201.71,1209.62,3.45,-0.28%,1275623,350269509
68,2019-08-22,1214.37,1220.90,1212.43,1213.06,0.99,-0.08%,1077720,261670203
69,2019-08-21,1213.96,1216.30,1209.77,1214.05,0.42,0.03  %,1270118,292641718
70,2019-08-20,1222.04,1222.87,1212.10,1213.63,8.43,-0.69%,1173510,272509020
71,2019-08-19,1214.96,1229.50,1210.80,1222.06,7.23,0.6  %,1477435,389625265
72,2019-08-18,1224.03,1226.07,1214.33,1214.83,9.2,-0.75%,1101776,329527915
73,2019-08-15,1225.11,1226.06,1221.80,1224.03,1.86,-0.15%,1610540,424323128
74,2019-08-14,1230.97,1231.49,1224.43,1225.90,5.17,-0.42%,1069690,257285001
75,2019-08-12,1234.68,1236.82,1232.11,1233.85,0.13,0.01  %,1815914,312766743
76,2019-08-11,1236.62,1237.97,1229.69,1233.71,4.84,-0.39%,1145507,311756856
77,2019-08-08,1248.91,1248.91,1237.70,1237.74,9.92,-0.79%,1877542,454629575
78,2019-08-07,1245.20,1249.98,1239.55,1248.48,2.75,0.22  %,1138639,368645669
79,2019-08-06,1255.74,1255.74,1243.74,1245.73,9.36,-0.75%,1449697,450755182
80,2019-08-05,1260.30,1261.63,1253.50,1255.09,4.55,-0.36%,1505506,443205481
81,2019-08-04,1263.87,1266.37,1258.27,1259.64,4.2,-0.33%,1467464,474151729
82,2019-08-01,1265.52,1270.88,1262.55,1263.84,1.74,-0.14%,2060678,590588239
83,2019-07-31,1259.53,1267.73,1257.91,1265.57,6.2,0.49  %,1261590,357836185
84,2019-07-30,1256.01,1262.16,1256.01,1259.37,3.39,0.27  %,1013794,294305023
85,2019-07-29,1252.72,1259.69,1252.72,1255.98,3.18,0.25  %,1208342,350812572
86,2019-07-28,1266.63,1266.63,1250.18,1252.80,17.11,-1.35%,1937041,492673652
87,2019-07-25,1284.41,1284.41,1269.35,1269.92,14.15,-1.1%,2198126,550532146
88,2019-07-24,1277.48,1284.99,1276.07,1284.07,6.9,0.54  %,1346330,443481391
89,2019-07-23,1271.24,1279.42,1271.22,1277.17,5.94,0.47  %,1444192,368980860
90,2019-07-22,1268.77,1272.38,1267.92,1271.23,2.48,0.2  %,1084553,316643421
91,2019-07-21,1276.29,1276.31,1265.60,1268.74,3.75,-0.29%,1119563,298157116
92,2019-07-18,1275.71,1283.63,1272.49,1272.49,2.37,-0.19%,1250708,411369299
93,2019-07-17,1258.94,1274.86,1258.81,1274.86,15.85,1.26  %,1375190,426743458
94,2019-07-16,1285.48,1285.50,1256.46,1259.01,4.45,0.35  %,1956630,347289275
95,2019-07-15,1250.09,1254.56,1249.17,1254.56,5.08,0.41  %,2973843,430525917
96,2019-07-14,1248.94,1253.09,1248.59,1249.49,0.95,0.08  %,1042646,285214572
97,2019-07-11,1249.46,1251.09,1247.63,1248.53,0.62,-0.05%,1654251,460036571
98,2019-07-10,1250.43,1251.89,1246.15,1249.15,1.12,-0.09%,2998947,573447509
99,2019-07-09,1247.41,1252.20,1244.36,1250.27,2.92,0.23  %,1607672,468263770
100,2019-07-08,1256.15,1257.57,1245.62,1247.35,8.7,-0.69%,2910153,591053812
101,2019-07-07,1262.98,1263.82,1255.01,1256.04,4.45,-0.35%,2216493,540529465
102,2019-07-04,1269.48,1272.79,1258.87,1260.47,8.27,-0.65%,8985353,670169929
103,2019-07-03,1253.52,1270.04,1249.50,1268.68,15.62,1.25  %,2064913,550247813
104,2019-07-02,1242.83,1253.06,1238.77,1253.06,11.02,0.89  %,1466897,429477288
105,2019-07-01,1245.58,1245.68,1237.43,1241.61,2.86,-0.23%,1221400,374725075
106,2019-06-30,1258.31,1258.85,1244.81,1244.89,12.27,-0.98%,2361500,645099037
107,2019-06-27,1259.16,1260.43,1256.63,1257.15,1.14,-0.09%,1841029,624764436
108,2019-06-26,1261.10,1261.49,1255.45,1258.29,2.78,-0.22%,1413357,570123481
109,2019-06-25,1260.23,1264.52,1259.35,1261.07,0.96,0.08  %,1324519,364773330
110,2019-06-24,1254.67,1260.10,1253.01,1260.10,5.75,0.46  %,1504672,481492821
111,2019-06-23,1264.53,1264.53,1253.43,1254.35,10.01,-0.79%,1575340,481859743
112,2019-06-20,1258.90,1266.33,1257.93,1264.36,5.9,0.47  %,1375541,375315204
113,2019-06-19,1258.25,1262.11,1256.72,1258.46,0.2,-0.02%,980919,304189645
114,2019-06-18,1261.04,1263.56,1258.36,1258.66,2.23,-0.18%,1226686,359411305
115,2019-06-17,1259.38,1264.97,1254.52,1260.90,2.63,0.21  %,1373120,403538147
116,2019-06-16,1271.18,1271.27,1256.85,1258.27,11.36,-0.89%,1473808,472520811
117,2019-06-13,1272.91,1274.83,1264.46,1269.55,2.92,-0.23%,1423687,456506945
118,2019-06-12,1276.09,1277.04,1267.17,1272.49,3.5,-0.27%,1871809,502682881
119,2019-06-11,1276.26,1281.32,1274.82,1275.99,0.17,0.01  %,1509885,480876986
120,2019-06-10,1285.49,1289.54,1274.62,1275.82,8.78,-0.69%,2072282,610334831
121,2019-06-06,1296.50,1296.80,1284.59,1284.59,4.69,-0.36%,1859248,588822625
