Date,28 Days,91 Days,182 Days,364 Days,Weighted Average Interbank Rate (Daily),7 Days (Regular),7 Days (Regular),15 Days,30 Days,60 Days,90 Days,Weighted Average Deposit Auction Rate (14 Days),Weighted Average Repo Rate (14 Days)
"17 Jul, 2007",,4.53,,,5.17,,,,,,,,
"18 Jul, 2007",,,,,5.24,,,,,,,,
"19 Jul, 2007",,,,,5.05,,,,,,,,
"20 Jul, 2007",,,,,4.99,,,,,,,,
"22 Jul, 2007",,,,,5.04,,,,,,,,
"23 Jul, 2007",,,,,4.77,,,,,,,,
"24 Jul, 2007",,3.90,,,4.50,,,,,,,,
"25 Jul, 2007",,,,,5.38,,,,,,,,
"26 Jul, 2007",,,,,4.29,,,,,,,,
"27 Jul, 2007",,,,,4.27,,,,,,,,
"29 Jul, 2007",,,,,4.31,,,,,,,,
"30 Jul, 2007",,,,,4.53,,,,,,,,
"31 Jul, 2007",,,,,4.30,,,,,,,,
"01 Aug, 2007",,,,,4.19,,,,,,,,
"02 Aug, 2007",,,,,4.03,,,,,,,,
"03 Aug, 2007",,,,,4.13,,,,,,,,
"05 Aug, 2007",,,,,4.10,,,,,,,,
"06 Aug, 2007",,,,,4.07,,,,,,,,
"07 Aug, 2007",,,,,3.80,,,,,,,,
"08 Aug, 2007",,,,,3.93,,,,,,,,
"09 Aug, 2007",,,,,3.51,,,,,,,,
"10 Aug, 2007",,,,,3.54,,,,,,,,
"12 Aug, 2007",,,,,3.35,,,,,,,,
"13 Aug, 2007",,,,,3.21,,,,,,,,
"14 Aug, 2007",,,,,3.84,,,,,,,,
"15 Aug, 2007",,,,,2.48,,,,,,,,
"16 Aug, 2007",,,,,2.26,,,,,,,,
"17 Aug, 2007",,,,,1.89,,,,,,,,
"19 Aug, 2007",,,,,1.64,,,,,,,,
"20 Aug, 2007",,,,,1.47,,,,,,,,
"21 Aug, 2007",,2.38,,,1.34,,,,,,,,
"22 Aug, 2007",,,,,1.20,,,,,,,,
"23 Aug, 2007",,,,,1.22,,,,,,,,
"24 Aug, 2007",,,,,1.28,,,,,,,,
"26 Aug, 2007",,,,,1.46,,,,,,,,
"27 Aug, 2007",,,,,1.30,,,,,,,,
"30 Aug, 2007",,2.02,,,1.55,,,,,,,,
"31 Aug, 2007",,,,,1.40,,,,,,,,
"02 Sep, 2007",,,,,1.46,,,,,,,,
"03 Sep, 2007",,,,,1.82,,,,,,,,
"05 Sep, 2007",,2.01,,,2.33,,,,,,,,
"06 Sep, 2007",,,,,2.85,,,,,,,,
"07 Sep, 2007",,,,,2.71,,,,,,,,
"09 Sep, 2007",,,,,2.95,,,,,,,,
"10 Sep, 2007",,,,,2.94,,,,,,,,
"11 Sep, 2007",,2.02,,,2.98,,,,,,,,
"12 Sep, 2007",,,,,2.98,,,,,,,,
"13 Sep, 2007",,,,,3.04,,,,,,,,
"14 Sep, 2007",,,,,2.99,,,,,,,,
"16 Sep, 2007",,,,,3.15,,,,,,,,
"17 Sep, 2007",,,,,3.30,,,,,,,,
"18 Sep, 2007",,2.00,,,3.21,,,,,,,,
"19 Sep, 2007",,,,,3.38,,,,,,,,
"20 Sep, 2007",,,,,3.11,,,,,,,,
"21 Sep, 2007",,,,,2.74,,,,,,,,
"23 Sep, 2007",,,,,2.74,,,,,,,,
"24 Sep, 2007",,,,,2.89,,,,,,,,
"25 Sep, 2007",,,,,2.89,,,,,,,,
"26 Sep, 2007",,2.09,,,3.05,,,,,,,,
"27 Sep, 2007",,,,,,,,,,,,,
"28 Sep, 2007",,,,,2.98,,,,,,,,
"30 Sep, 2007",,,,,2.98,,,,,,,,
"01 Oct, 2007",,,,,3.14,,,,,,,,
"02 Oct, 2007",,2.21,,,3.04,,,,,,,,
"03 Oct, 2007",,,,,3.16,,,,,,,,
"04 Oct, 2007",,,,,3.41,,,,,,,,
